wavelength n
0.00525 1.000135800000037
0.000375 1.000135800007262
0.00020833333335 1.0001358000235288
0.00014583333335 1.000135800048018
0.0001125 1.0001358000806886
9.1666666665e-05 1.0001358001215332
7.738095238e-05 1.0001358001705491
6.6964285715e-05 1.0001358002277356
5.902777778e-05 1.0001358002930925
5.2777777780000005e-05 1.0001358003666194
4.7727272725e-05 1.000135800448316
4.3560606060000006e-05 1.0001358005381829
4.0064102565000006e-05 1.000135800636219
3.7087912085e-05 1.0001358007424255
3.4523809520000005e-05 1.0001358008568015
3.2291666665e-05 1.0001358009793473
3.0330882355e-05 1.0001358011100627
2.8594771245e-05 1.000135801248948
2.7046783624999998e-05 1.000135801396003
2.5657894735e-05 1.0001358015512278
2.4404761905e-05 1.0001358017146222
2.3268398270000002e-05 1.0001358018861866
2.2233201580000002e-05 1.0001358020659206
2.1286231880000003e-05 1.0001358022538243
2.0416666665e-05 1.0001358024498976
1.9615384615e-05 1.0001358026541407
1.8874643874999998e-05 1.0001358028665537
1.818783069e-05 1.0001358030871363
1.7549261085e-05 1.0001358033158887
1.695402299e-05 1.0001358035528107
1.6397849465000002e-05 1.0001358037979027
1.5877016130000002e-05 1.000135804051164
1.5388257575e-05 1.0001358043125954
1.492869875e-05 1.0001358045821964
1.4495798319999998e-05 1.0001358048599671
1.4087301589999999e-05 1.0001358051459077
1.37012012e-05 1.0001358054400178
1.3335704124999999e-05 1.0001358057422978
1.2989203779999999e-05 1.0001358060527474
1.266025641e-05 1.0001358063713668
1.2347560975e-05 1.0001358066981558
1.2049941925e-05 1.0001358070331148
1.1766334440000002e-05 1.0001358073762434
1.149577167e-05 1.0001358077275415
1.1237373735e-05 1.0001358080870095
1.0990338165000002e-05 1.0001358084546474
1.0753931545000001e-05 1.0001358088304548
1.052748227e-05 1.0001358092144321
1.031037415e-05 1.000135809606579
1.0102040815e-05 1.0001358100068958
9.9019607845e-06 1.0001358104153821
9.709653092e-06 1.0001358108320382
9.5246734395e-06 1.0001358112568641
9.346610761500001e-06 1.0001358116898595
9.175084175e-06 1.0001358121310249
9.00974026e-06 1.0001358125803599
8.850250627e-06 1.0001358130378648
8.696309739999999e-06 1.0001358135035392
8.547632963e-06 1.0001358139773835
8.403954802e-06 1.0001358144593975
8.265027322e-06 1.0001358149495811
8.13061872e-06 1.0001358154479345
8.000512033e-06 1.0001358159544576
7.874503968500002e-06 1.0001358164691505
7.752403846e-06 1.0001358169920131
7.634032634e-06 1.0001358175230455
7.5192220715e-06 1.0001358180622475
7.407813871500001e-06 1.0001358186096192
7.299658994000001e-06 1.0001358191651608
7.1946169775e-06 1.0001358197288719
7.092555331999999e-06 1.0001358203007529
6.9933489825e-06 1.0001358208808035
6.896879756e-06 1.000135821469024
6.8030359125e-06 1.0001358220654142
6.711711712000001e-06 1.000135822669974
6.6228070175e-06 1.0001358232827036
6.536226931000001e-06 1.000135823903603
6.451881452e-06 1.000135824532672
6.3696851669999994e-06 1.0001358251699108
6.289556962e-06 1.0001358258153192
6.211419753e-06 1.0001358264688975
6.135200241e-06 1.0001358271306455
6.060828681e-06 1.0001358278005632
5.988238669e-06 1.0001358284786506
5.917366946500001e-06 1.0001358291649078
5.8481532145e-06 1.0001358298593346
5.7805399625e-06 1.0001358305619312
5.7144723095000005e-06 1.0001358312726976
5.649897855e-06 1.0001358319916336
5.5867665419999996e-06 1.0001358327187395
5.5250305254999994e-06 1.000135833454015
5.464644052e-06 1.0001358341974602
5.4055633475e-06 1.0001358349490752
5.347746511e-06 1.0001358357088599
5.2911534155e-06 1.0001358364768143
5.235745614e-06 1.0001358372529385
5.181486254e-06 1.0001358380372325
5.1283399955e-06 1.000135838829696
5.0762729335e-06 1.0001358396303293
5.025252525500001e-06 1.0001358404391325
4.975247525000001e-06 1.0001358412561052
4.926227917e-06 1.0001358420812478
4.8781648579999995e-06 1.00013584291456
4.83103062e-06 1.000135843756042
4.784798535000001e-06 1.0001358446056936
4.739442947e-06 1.0001358454635152
4.694939164000001e-06 1.0001358463295063
4.651263413e-06 1.0001358472036672
4.6083927965e-06 1.0001358480859979
4.566305254e-06 1.0001358489764982
4.524979525e-06 1.0001358498751682
4.4843951095e-06 1.000135850782008
4.4445322375e-06 1.0001358516970176
4.4053718365e-06 1.0001358526201969
4.3668954995e-06 1.0001358535515459
4.3290854575e-06 1.0001358544910646
4.291924551e-06 1.000135855438753
4.255396205e-06 1.0001358563946112
4.219484404e-06 1.0001358573586392
4.1841736695e-06 1.0001358583308366
4.149449036e-06 1.000135859311204
4.1152960305e-06 1.0001358602997412
4.081700653e-06 1.000135861296448
4.0486493575e-06 1.0001358623013246
4.0161290325e-06 1.0001358633143709
3.984126984e-06 1.0001358643355869
3.952630921e-06 1.0001358653649726
3.921628936999999e-06 1.000135866402528
3.8911094960000005e-06 1.0001358674482532
3.861061419e-06 1.0001358685021482
3.8314738695e-06 1.0001358695642126
3.8023363405000003e-06 1.000135870634447
3.773638642e-06 1.0001358717128512
3.74537089e-06 1.000135872799425
3.7175234940000003e-06 1.0001358738941686
3.6900871460000002e-06 1.000135874997082
3.663052812e-06 1.000135876108165
3.636411721e-06 1.0001358772274176
3.6101553540000002e-06 1.00013587835484
3.5842754365e-06 1.0001358794904323
3.5587639310000003e-06 1.0001358806341942
3.5336130260000004e-06 1.000135881786126
3.5088151290000003e-06 1.0001358829462272
3.4843628595000003e-06 1.0001358841144983
